Weekdays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round trip no. ,28: Røde etagehuse,27: Tuujuk,62: Kommuneqarfik,58: Nuuk Center,24: Narsarsuaq,18: Akunnerit,35: Qernertunnguanut,1: Eqalugalinnguit,47: Naluttarfik Malik,63: Maligiaq,68: Qeqertanut stop 1,69: Qeqertanut stop 2,70: Qeqertanut stop 3,4: Nigerleq,5: Sangoriaq,6: Nuniaffik,47: Naluttarfik Malik,46: Qattaaq,37: Ilimmarfik,38: Nukappiakuluk,67: Isertitsiviit,39: Napasuliaq,40: Air Greenland adm:,66: Mittarfik / Lufthavn,64. Pukuffik,46. Qattaaq,8: Paarnat,35: Qernertunnguanut,9: Eqalugalinnguit Tasiat,9: Eqalugalinnguit Tasiat
1,6:18:00,6:19:00,6:21:00,6:22:00,6:24:00,6:26:00,6:29:00,6:32:00,6:34:00,6:35:00,6:38:00,6:39:00,6:41:00,6:44:00,6:46:00,6:48:00,6:51:00,6:54:00,6:56:00,6:57:00,6:59:00,7:00:00,7:01:00,7:03:00,7:06:00,7:07:00,7:09:00,7:11:00,7:13:00,7:15:00
2,7:18:00,7:19:00,7:21:00,7:22:00,7:24:00,7:26:00,7:29:00,7:32:00,7:34:00,7:35:00,7:38:00,7:39:00,7:41:00,7:44:00,7:46:00,7:48:00,7:51:00,7:54:00,7:56:00,7:57:00,7:59:00,8:00:00,8:01:00,8:03:00,8:06:00,8:07:00,8:09:00,8:11:00,8:13:00,→ Rute 3
